iter	Passed	Remaining
0	2	215
1	4	209
2	5	190
3	8	211
4	11	215
5	13	218
6	16	221
7	19	226
8	23	235
9	26	234
10	28	232
11	31	228
12	33	222
13	35	215
14	37	210
15	39	208
16	42	206
17	44	203
18	46	198
19	48	192
20	50	189
21	52	186
22	54	183
23	59	187
24	61	183
25	64	183
26	66	179
27	68	176
28	70	173
29	72	168
30	73	164
31	76	161
32	78	160
33	81	158
34	83	155
35	85	152
36	87	149
37	93	153
38	96	150
39	97	146
40	99	143
41	100	138
42	103	136
43	106	135
44	108	132
45	110	130
46	112	126
47	115	124
48	118	123
49	120	120
50	122	117
51	124	114
52	126	111
53	130	111
54	132	108
55	134	105
56	136	102
57	138	100
58	141	98
59	143	95
60	145	93
61	147	90
62	148	87
63	152	85
64	154	83
65	156	80
66	158	78
67	160	75
68	163	73
69	165	70
70	167	68
71	170	66
72	171	63
73	173	61
74	175	58
75	179	56
76	180	54
77	182	51
78	184	49
79	186	46
80	189	44
81	192	42
82	194	39
83	195	37
84	198	35
85	200	32
86	203	30
87	205	27
88	206	25
89	209	23
90	211	20
91	214	18
92	216	16
93	218	13
94	220	11
95	221	9
96	224	6
97	227	4
98	229	2
99	230	0
