iter	Passed	Remaining
0	117	117126
1	121	60550
2	123	41124
3	125	31323
4	128	25605
5	130	21613
6	133	18902
7	138	17149
8	140	15524
9	143	14167
10	145	13064
11	149	12268
12	151	11473
13	153	10811
14	156	10265
15	157	9712
16	160	9274
17	162	8882
18	164	8515
19	166	8172
20	168	7868
21	170	7583
22	172	7325
23	174	7084
24	178	6976
25	181	6806
26	183	6613
27	185	6428
28	190	6368
29	195	6311
30	196	6148
31	198	6001
32	207	6090
33	212	6024
34	216	5970
35	219	5865
36	224	5846
37	227	5752
38	229	5648
39	233	5594
40	235	5509
41	237	5418
42	239	5328
43	241	5249
44	247	5243
45	249	5165
46	251	5099
47	253	5035
48	257	5005
49	261	4966
50	265	4936
51	267	4870
52	275	4915
53	280	4907
54	282	4848
55	287	4845
56	290	4808
57	293	4767
58	295	4707
59	296	4639
60	297	4583
61	303	4585
62	309	4605
63	311	4550
64	312	4498
65	319	4516
66	321	4480
67	323	4439
68	325	4394
69	327	4349
70	336	4407
71	339	4376
72	341	4336
73	346	4335
74	350	4318
75	353	4296
76	355	4261
77	357	4224
78	369	4311
79	371	4276
80	374	4252
81	380	4265
82	382	4229
83	384	4197
84	386	4160
85	389	4144
86	393	4124
87	394	4092
88	399	4084
89	400	4053
90	403	4035
91	408	4030
92	412	4018
93	413	3988
94	419	3992
95	424	3998
96	433	4033
97	446	4106
98	448	4083
99	453	4085
100	459	4092
101	465	4100
102	468	4080
103	471	4063
104	479	4085
105	501	4226
106	504	4208
107	509	4205
108	513	4195
109	521	4218
110	533	4275
111	536	4254
112	543	4267
113	552	4295
114	560	4315
115	568	4333
116	573	4329
117	577	4318
118	580	4298
119	582	4271
120	585	4252
121	589	4241
122	591	4217
123	594	4200
124	597	4180
125	606	4207
126	608	4184
127	610	4161
128	612	4137
129	622	4169
130	627	4159
131	631	4153
132	634	4136
133	637	4121
134	639	4099
135	641	4077
136	643	4055
137	651	4071
138	656	4067
139	664	4081
140	670	4081
141	671	4055
142	676	4054
143	681	4052
144	686	4049
145	690	4039
146	696	4044
147	699	4028
148	702	4010
149	704	3990
150	713	4012
151	724	4042
152	730	4044
153	732	4025
154	737	4021
155	744	4029
156	746	4009
157	750	3999
158	753	3985
159	755	3968
160	757	3948
161	761	3938
162	765	3928
163	771	3931
164	774	3921
165	777	3903
166	784	3915
167	787	3899
168	794	3908
169	799	3905
170	802	3888
171	803	3870
172	810	3874
173	812	3858
174	814	3840
175	816	3824
176	818	3806
177	820	3788
178	827	3796
179	829	3780
180	831	3762
181	833	3745
182	834	3727
183	839	3723
184	842	3712
185	846	3706
186	848	3689
187	850	3671
188	856	3674
189	858	3658
190	859	3641
191	861	3624
192	863	3608
193	865	3594
194	868	3587
195	870	3572
196	872	3557
197	874	3541
198	875	3525
199	877	3509
200	878	3493
201	880	3478
202	883	3467
203	885	3454
204	887	3441
205	889	3426
206	890	3411
207	892	3398
208	894	3385
209	898	3379
210	901	3369
211	903	3357
212	904	3343
213	906	3329
214	908	3316
215	912	3313
216	915	3301
217	917	3290
218	934	3333
219	936	3319
220	938	3306
221	939	3294
222	941	3281
223	944	3272
224	946	3261
225	949	3251
226	950	3238
227	952	3224
228	955	3216
229	959	3210
230	960	3199
231	962	3187
232	964	3176
233	966	3163
234	967	3150
235	973	3150
236	976	3144
237	978	3132
238	979	3119
239	981	3109
240	983	3098
241	990	3101
242	993	3094
243	995	3084
244	1000	3083
245	1004	3077
246	1008	3074
247	1010	3063
248	1012	3052
249	1014	3042
250	1022	3051
251	1024	3041
252	1027	3034
253	1029	3024
254	1031	3014
255	1037	3014
256	1040	3006
257	1041	2996
258	1044	2987
259	1048	2984
260	1053	2981
261	1055	2974
262	1060	2972
263	1066	2972
264	1068	2964
265	1070	2955
266	1072	2944
267	1074	2933
268	1084	2945
269	1086	2937
270	1088	2929
271	1091	2920
272	1097	2923
273	1100	2916
274	1102	2906
275	1104	2897
276	1112	2903
277	1116	2900
278	1118	2891
279	1120	2881
280	1123	2875
281	1129	2874
282	1131	2866
283	1135	2863
284	1140	2861
285	1143	2855
286	1145	2847
287	1148	2840
288	1155	2842
289	1158	2836
290	1161	2828
291	1165	2825
292	1174	2834
293	1177	2826
294	1178	2817
295	1190	2832
296	1194	2827
297	1196	2819
298	1203	2821
299	1207	2816
300	1209	2807
301	1216	2810
302	1220	2807
303	1223	2801
304	1234	2812
305	1236	2804
306	1238	2796
307	1240	2787
308	1249	2794
309	1253	2790
310	1255	2782
311	1257	2773
312	1262	2770
313	1265	2764
314	1269	2761
315	1272	2754
316	1277	2752
317	1281	2749
318	1284	2741
319	1286	2734
320	1294	2738
321	1298	2733
322	1300	2726
323	1302	2717
324	1314	2729
325	1317	2723
326	1325	2728
327	1328	2722
328	1333	2719
329	1338	2717
330	1343	2714
331	1345	2707
332	1352	2709
333	1357	2706
334	1361	2702
335	1372	2712
336	1374	2704
337	1377	2698
338	1380	2691
339	1387	2693
340	1390	2687
341	1392	2680
342	1394	2671
343	1402	2674
344	1404	2666
345	1406	2658
346	1408	2650
347	1417	2656
348	1423	2654
349	1426	2648
350	1433	2650
351	1439	2649
352	1441	2641
353	1449	2644
354	1451	2637
355	1456	2634
356	1465	2639
357	1467	2631
358	1469	2623
359	1471	2615
360	1472	2606
361	1480	2609
362	1483	2602
363	1487	2598
364	1490	2592
365	1493	2586
366	1495	2579
367	1497	2571
368	1499	2564
369	1502	2558
370	1510	2560
371	1512	2552
372	1514	2545
373	1516	2538
374	1520	2534
375	1522	2527
376	1526	2522
377	1528	2515
378	1530	2507
379	1536	2506
380	1539	2500
381	1541	2493
382	1543	2486
383	1545	2478
384	1548	2474
385	1556	2475
386	1558	2468
387	1565	2468
388	1570	2467
389	1573	2461
390	1576	2454
391	1582	2454
392	1584	2447
393	1586	2439
394	1589	2434
395	1594	2431
396	1597	2426
397	1601	2421
398	1603	2414
399	1604	2407
400	1606	2400
401	1611	2396
402	1615	2392
403	1617	2386
404	1619	2379
405	1621	2371
406	1628	2372
407	1630	2365
408	1632	2358
409	1634	2351
410	1636	2344
411	1642	2344
412	1645	2338
413	1647	2332
414	1650	2326
415	1656	2324
416	1659	2320
417	1661	2313
418	1665	2309
419	1672	2309
420	1677	2306
421	1679	2299
422	1686	2300
423	1689	2295
424	1693	2290
425	1695	2284
426	1698	2279
427	1704	2277
428	1708	2273
429	1710	2267
430	1718	2268
431	1720	2261
432	1723	2256
433	1725	2250
434	1737	2256
435	1748	2261
436	1751	2255
437	1753	2249
438	1754	2242
439	1757	2236
440	1764	2237
441	1767	2231
442	1769	2224
443	1770	2217
444	1772	2211
445	1776	2206
446	1779	2200
447	1782	2196
448	1784	2190
449	1786	2183
450	1789	2178
451	1792	2173
452	1794	2167
453	1796	2160
454	1808	2166
455	1812	2162
456	1814	2156
457	1816	2149
458	1823	2149
459	1827	2145
460	1829	2138
461	1830	2132
462	1834	2127
463	1837	2122
464	1843	2121
465	1846	2115
466	1857	2119
467	1859	2114
468	1867	2114
469	1870	2109
470	1874	2105
471	1876	2099
472	1883	2098
473	1885	2092
474	1889	2087
475	1892	2083
476	1896	2078
477	1900	2075
478	1904	2071
479	1908	2067
480	1913	2064
481	1917	2060
482	1919	2054
483	1921	2049
484	1924	2043
485	1935	2046
486	1937	2040
487	1941	2037
488	1946	2034
489	1948	2028
490	1951	2023
491	1964	2028
492	1966	2022
493	1968	2016
494	1970	2010
495	1974	2005
496	1976	2000
497	1978	1994
498	1984	1992
499	1988	1988
500	1991	1983
501	1994	1978
502	1996	1972
503	1999	1967
504	2002	1962
505	2004	1957
506	2006	1950
507	2015	1952
508	2019	1947
509	2021	1942
510	2023	1936
511	2026	1931
512	2029	1926
513	2032	1922
514	2034	1915
515	2037	1911
516	2039	1905
517	2043	1901
518	2046	1897
519	2049	1892
520	2052	1886
521	2054	1880
522	2057	1876
523	2060	1871
524	2065	1868
525	2068	1864
526	2074	1862
527	2076	1856
528	2079	1851
529	2081	1846
530	2083	1840
531	2091	1839
532	2094	1834
533	2097	1830
534	2107	1831
535	2110	1826
536	2112	1821
537	2114	1815
538	2117	1811
539	2120	1806
540	2124	1802
541	2127	1797
542	2129	1792
543	2133	1788
544	2135	1782
545	2137	1777
546	2139	1771
547	2140	1765
548	2142	1759
549	2145	1755
550	2149	1751
551	2151	1746
552	2153	1740
553	2154	1734
554	2156	1729
555	2158	1723
556	2163	1720
557	2165	1715
558	2167	1710
559	2169	1704
560	2171	1698
561	2172	1693
562	2175	1688
563	2178	1684
564	2180	1679
565	2182	1673
566	2186	1669
567	2192	1667
568	2194	1662
569	2196	1657
570	2198	1651
571	2200	1646
572	2204	1642
573	2208	1638
574	2210	1633
575	2211	1627
576	2213	1622
577	2215	1617
578	2221	1615
579	2223	1610
580	2225	1604
581	2226	1599
582	2228	1593
583	2230	1588
584	2234	1584
585	2236	1580
586	2238	1575
587	2240	1569
588	2242	1564
589	2244	1559
590	2249	1556
591	2252	1552
592	2255	1547
593	2257	1542
594	2258	1537
595	2262	1533
596	2264	1528
597	2271	1526
598	2275	1523
599	2281	1520
600	2285	1517
601	2286	1511
602	2288	1506
603	2290	1501
604	2294	1498
605	2297	1493
606	2299	1488
607	2301	1483
608	2302	1478
609	2305	1474
610	2308	1469
611	2310	1465
612	2313	1460
613	2314	1455
614	2316	1450
615	2317	1444
616	2321	1440
617	2323	1436
618	2326	1431
619	2328	1427
620	2329	1421
621	2331	1416
622	2332	1411
623	2337	1408
624	2340	1404
625	2342	1399
626	2345	1395
627	2347	1390
628	2349	1386
629	2353	1382
630	2355	1377
631	2357	1372
632	2359	1368
633	2361	1363
634	2367	1360
635	2369	1356
636	2372	1351
637	2373	1346
638	2376	1342
639	2382	1340
640	2386	1336
641	2388	1331
642	2390	1327
643	2397	1325
644	2401	1321
645	2403	1317
646	2405	1312
647	2407	1307
648	2414	1305
649	2416	1301
650	2418	1296
651	2419	1291
652	2421	1286
653	2423	1282
654	2428	1279
655	2430	1274
656	2432	1269
657	2433	1265
658	2435	1260
659	2437	1255
660	2442	1252
661	2444	1248
662	2446	1243
663	2448	1238
664	2449	1234
665	2451	1229
666	2454	1225
667	2457	1221
668	2460	1217
669	2463	1213
670	2465	1208
671	2466	1204
672	2469	1199
673	2473	1196
674	2475	1192
675	2478	1187
676	2480	1183
677	2482	1178
678	2486	1175
679	2491	1172
680	2493	1168
681	2496	1164
682	2500	1160
683	2503	1156
684	2505	1152
685	2506	1147
686	2509	1143
687	2512	1139
688	2519	1137
689	2522	1133
690	2523	1128
691	2525	1124
692	2530	1120
693	2536	1118
